,Year,Operator,Count
0,2011,Telia,4950566
1,2011,Com Hem,1348544
2,2011,Telenor,3006639
4,2011,Bredband2,291153
5,2011,Bahnhof,423522
6,2011,Others,5403888
7,2012,Telia,5878091
8,2012,Com Hem,1708879
9,2012,Telenor,4658406
11,2012,Bredband2,336077
12,2012,Bahnhof,537826
13,2012,Others,6754037
14,2013,Telia,5789753
15,2013,Com Hem,1785764
16,2013,Telenor,4276575
18,2013,Bredband2,436167
19,2013,Bahnhof,713090
20,2013,Others,7328461
21,2014,Telia,5022289
22,2014,Com Hem,2234634
23,2014,Telenor,2430454
25,2014,Bredband2,465855
26,2014,Bahnhof,827517
27,2014,Others,5170195
28,2015,Telia,5260339
29,2015,Com Hem,2237636
30,2015,Telenor,2678101
32,2015,Bredband2,610158
33,2015,Bahnhof,1131455
34,2015,Others,5031838
35,2016,Telia,4678787
36,2016,Com Hem,1579575
37,2016,Telenor,2213376
39,2016,Bredband2,672315
40,2016,Bahnhof,1155679
41,2016,Others,4425020
