,Regioncode,Speed,Count,Year
0,12.0,14.8418385803,1547903.0,2011.0
1,22.0,16.9925501419,281840.0,2011.0
2,1.0,14.7432084772,3880199.0,2011.0
3,13.0,11.948346119,344162.0,2011.0
4,6.0,10.9874568541,656146.0,2011.0
5,3.0,15.0662156987,370554.0,2011.0
6,20.0,12.6004097319,416570.0,2011.0
7,5.0,13.0847063302,859346.0,2011.0
8,19.0,11.8350290278,502174.0,2011.0
9,17.0,14.1431009314,344739.0,2011.0
10,9.0,18.6699417318,56034.0,2011.0
11,4.0,10.7858964882,594715.0,2011.0
12,8.0,15.4147853415,265757.0,2011.0
13,23.0,14.7942996544,458635.0,2011.0
14,7.0,15.7462244954,235742.0,2011.0
15,10.0,14.2254295904,176645.0,2011.0
16,25.0,24.2892631413,266849.0,2011.0
17,24.0,30.1293162225,262777.0,2011.0
18,21.0,17.5708076427,286259.0,2011.0
19,14.0,13.5806174954,2912948.0,2011.0
20,18.0,16.6356410558,406038.0,2011.0
21,12.0,17.2117780226,2300248.0,2012.0
22,22.0,19.3728521614,341264.0,2012.0
23,1.0,18.0575453044,5034221.0,2012.0
24,13.0,15.468461153,366553.0,2012.0
25,6.0,15.0008822534,629343.0,2012.0
26,3.0,17.6111182458,470968.0,2012.0
27,20.0,15.2706246097,489384.0,2012.0
28,5.0,18.0632050347,806439.0,2012.0
29,19.0,17.9732075816,503060.0,2012.0
30,17.0,17.6967622442,388205.0,2012.0
31,9.0,24.6946503272,66934.0,2012.0
32,4.0,15.0683746068,603107.0,2012.0
33,8.0,18.0125772084,303866.0,2012.0
34,23.0,10.3427930044,1464041.0,2012.0
35,7.0,22.1989479768,240258.0,2012.0
36,10.0,16.7810823809,198796.0,2012.0
37,25.0,27.1495897629,314484.0,2012.0
38,24.0,32.3608733946,302491.0,2012.0
39,21.0,18.2142078525,367525.0,2012.0
40,14.0,16.2116461516,3818957.0,2012.0
41,18.0,19.4789509864,454976.0,2012.0
42,12.0,22.4668419125,2248015.0,2013.0
43,22.0,26.0797273507,333410.0,2013.0
44,1.0,26.675757695,4370690.0,2013.0
45,13.0,21.3804788105,356757.0,2013.0
46,6.0,23.8780867688,440089.0,2013.0
47,3.0,25.7425787212,436547.0,2013.0
48,20.0,21.2510108152,344791.0,2013.0
49,5.0,30.1511882715,599124.0,2013.0
50,19.0,29.1374075647,360885.0,2013.0
51,17.0,25.9858274308,351291.0,2013.0
52,9.0,30.1343540263,73616.0,2013.0
53,4.0,25.9380428581,385388.0,2013.0
54,8.0,22.3313962476,293145.0,2013.0
55,23.0,12.3430817878,4841004.0,2013.0
56,7.0,27.691409318,208586.0,2013.0
57,10.0,21.7950824059,195168.0,2013.0
58,25.0,31.5899394493,313638.0,2013.0
59,24.0,38.1763062515,312547.0,2013.0
60,21.0,25.7398970923,318120.0,2013.0
61,14.0,23.7303536354,2866930.0,2013.0
62,18.0,28.2769277675,335334.0,2013.0
63,12.0,34.5414050094,1769675.0,2014.0
64,22.0,35.0454138726,326557.0,2014.0
65,1.0,43.1950104474,3927691.0,2014.0
66,13.0,31.3384782003,335073.0,2014.0
67,6.0,31.0107096159,377042.0,2014.0
68,3.0,40.2481081384,404639.0,2014.0
69,20.0,29.2917328934,311868.0,2014.0
70,5.0,43.4240078607,571322.0,2014.0
71,19.0,39.5781860838,316551.0,2014.0
72,17.0,39.0147173418,329182.0,2014.0
73,9.0,47.2405409994,72745.0,2014.0
74,4.0,36.9139035167,343987.0,2014.0
75,8.0,33.0395592129,269561.0,2014.0
76,23.0,19.7250673057,2551641.0,2014.0
77,7.0,36.199960576,202212.0,2014.0
78,10.0,33.8610967841,175721.0,2014.0
79,25.0,41.9015481744,273475.0,2014.0
80,24.0,47.7986981329,308076.0,2014.0
81,21.0,36.0821656879,295429.0,2014.0
82,14.0,37.543757743,2351866.0,2014.0
83,18.0,42.3692799715,330773.0,2014.0
84,12.0,44.7807838791,1918889.0,2015.0
85,22.0,40.0106622046,338785.0,2015.0
86,1.0,42.9084683735,6304223.0,2015.0
87,13.0,41.2589644679,381064.0,2015.0
88,6.0,39.3976866037,423668.0,2015.0
89,3.0,48.7753615373,492555.0,2015.0
90,20.0,37.4032940748,338924.0,2015.0
91,5.0,52.4548667596,621921.0,2015.0
92,19.0,45.2958085654,380506.0,2015.0
93,17.0,48.5715409583,364468.0,2015.0
94,9.0,52.7637184493,67764.0,2015.0
95,4.0,44.9547765701,386600.0,2015.0
96,8.0,42.3060639175,303970.0,2015.0
97,23.0,41.7532439665,142290.0,2015.0
98,7.0,43.125321806,212597.0,2015.0
99,10.0,39.3225055234,199334.0,2015.0
100,25.0,47.8858943361,303093.0,2015.0
101,24.0,51.0381758387,324519.0,2015.0
102,21.0,42.6543006216,316451.0,2015.0
103,14.0,44.7804819789,2427044.0,2015.0
104,18.0,51.1180169026,372192.0,2015.0
105,12.0,56.7064085421,1705091.0,2016.0
106,22.0,43.6671486229,309897.0,2016.0
107,1.0,51.7348580035,5425901.0,2016.0
108,13.0,47.7021212658,335718.0,2016.0
109,6.0,45.0010203658,371739.0,2016.0
110,3.0,58.1314073164,412471.0,2016.0
111,20.0,49.5446572821,335346.0,2016.0
112,5.0,63.9554392909,569717.0,2016.0
113,19.0,50.3316657896,328004.0,2016.0
114,17.0,56.5635182772,286918.0,2016.0
115,9.0,59.685283752,53381.0,2016.0
116,4.0,59.1423002717,340690.0,2016.0
117,8.0,49.5226779796,260268.0,2016.0
118,23.0,49.4306899919,125522.0,2016.0
119,7.0,50.4802867313,183445.0,2016.0
120,10.0,47.3764875595,195588.0,2016.0
