,Year,Dwl,Upl,Operator
0,2011,10.2882778671,2.66898956202,Telia
1,2011,30.4986868744,5.49368315627,Com Hem
2,2011,12.7795979171,3.12815340717,Telenor
3,2011,36.0698434426,20.1248198312,Bredband2
4,2011,34.8052211503,17.2720816706,Bahnhof
5,2011,12.5963357631,6.04502944521,others
6,2016,36.7812988378,25.676737965,Telia
7,2016,92.626507403,19.1079469469,Com Hem
8,2016,51.2265643482,25.9670956496,Telenor
9,2016,71.9844921119,44.5599210102,Bredband2
10,2016,68.6113322776,38.9011102842,Bahnhof
11,2016,45.8084770161,31.003147034,others
